feature,level,group,patient_count,group_total,group_fraction,chi2_p_value_descriptive,chi2_statistic_descriptive,chi2_dof
sex,female,flare,14,14,1.0,0.025267910783454067,7.356440073526908,2.0
sex,male,flare,0,14,0.0,0.025267910783454067,7.356440073526908,2.0
sex,female,healthy,96,98,0.9795918367346939,0.025267910783454067,7.356440073526908,2.0
sex,male,healthy,2,98,0.02040816326530612,0.025267910783454067,7.356440073526908,2.0
sex,female,managed,133,148,0.8986486486486487,0.025267910783454067,7.356440073526908,2.0
sex,male,managed,15,148,0.10135135135135136,0.025267910783454067,7.356440073526908,2.0
tissue,blood,flare,14,14,1.0,,,
tissue,blood,healthy,98,98,1.0,,,
tissue,blood,managed,148,148,1.0,,,
assay,10x 3' v2,flare,14,14,1.0,,,
assay,10x 3' v2,healthy,98,98,1.0,,,
assay,10x 3' v2,managed,148,148,1.0,,,
suspension_type,cell,flare,14,14,1.0,,,
suspension_type,cell,healthy,98,98,1.0,,,
suspension_type,cell,managed,148,148,1.0,,,
development_stage,20-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,21-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,22-year-old stage,flare,1,14,0.07142857142857142,0.03723899271991521,135.61566695240163,108.0
development_stage,23-year-old stage,flare,1,14,0.07142857142857142,0.03723899271991521,135.61566695240163,108.0
development_stage,24-year-old stage,flare,2,14,0.14285714285714285,0.03723899271991521,135.61566695240163,108.0
development_stage,25-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,26-year-old stage,flare,2,14,0.14285714285714285,0.03723899271991521,135.61566695240163,108.0
development_stage,27-year-old stage,flare,1,14,0.07142857142857142,0.03723899271991521,135.61566695240163,108.0
development_stage,28-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,29-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,30-year-old stage,flare,1,14,0.07142857142857142,0.03723899271991521,135.61566695240163,108.0
development_stage,31-year-old stage,flare,1,14,0.07142857142857142,0.03723899271991521,135.61566695240163,108.0
development_stage,32-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,33-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,34-year-old stage,flare,1,14,0.07142857142857142,0.03723899271991521,135.61566695240163,108.0
development_stage,35-year-old stage,flare,1,14,0.07142857142857142,0.03723899271991521,135.61566695240163,108.0
development_stage,36-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,37-year-old stage,flare,1,14,0.07142857142857142,0.03723899271991521,135.61566695240163,108.0
development_stage,38-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,39-year-old stage,flare,1,14,0.07142857142857142,0.03723899271991521,135.61566695240163,108.0
development_stage,40-year-old stage,flare,1,14,0.07142857142857142,0.03723899271991521,135.61566695240163,108.0
development_stage,41-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,42-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,43-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,44-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,45-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,46-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,47-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,48-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,49-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,50-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,51-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,52-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,53-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,54-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,55-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,56-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
development_stage,57-year-old stage,flare,0,14,0.0,0.03723899271991521,135.61566695240163,108.0
